star,book_name,author,price,book_type,rank_num
平均4.5 星,自在独行:贾平凹的独行世界,贾平凹,￥26.80,平装,1.
平均4.9 星,活着本来单纯:丰子恺散文漫画精品集(收藏本),丰子恺,￥30.90,精装,2.
平均3.8 星,肖秀荣考研书系列:肖秀荣(2017)考研政治命题人终极预测4套卷,肖秀荣,￥14.40,平装,3.
平均4.8 星,巨人的陨落(套装共3册),肯·福莱特,￥84.90,平装,4.
平均4.3 星,当你的才华还撑不起你的梦想时,特立独行的猫,￥23.00,平装,5.
平均4.3 星,法医秦明作品集:幸存者+清道夫+尸语者+无声的证词+第十一根手指(套装共5册) (两种封面随机发货),秦明,￥100.00,平装,6.
平均4.4 星,"世界知名企业员工指定培训教材:所谓情商高,就是会说话",佐佐木圭一,￥22.00,平装,7.
平均3.7 星,"这么慢,那么美",罗敷,￥24.40,平装,8.
平均4.6 星,你的善良必须有点锋芒,慕颜歌,￥14.80,平装,9.
平均4.4 星,人间草木,汪曾祺,￥30.00,精装,10.
平均3.8 星,孤独深处(收录雨果奖获奖作品《北京折叠》),郝景芳,￥21.90,平装,11.
平均4.4 星,中国通史“慢读”系列,吕思勉,￥23.70,平装,12.
平均4.5 星,大冰作品集:阿弥陀佛么么哒+乖摸摸头(套装共2册),大冰,￥46.30,平装,13.
平均4.7 星,考拉小巫的英语学习日记:写给为梦想而奋斗的人(全新修订版),考拉小巫,￥23.90,平装,14.
平均4.4 星,"不要让未来的你,讨厌现在的自己",特立独行的猫,￥20.50,平装,15.
平均3.8 星,你的团队需要一个会讲故事的人,安妮特·西蒙斯 (Annette Simmons),￥24.80,平装,16.
平均4.7 星,孤独小说家,石田衣良,￥24.80,平装,17.
平均4.5 星,"你心柔软,却有力量",林清玄,￥26.90,平装,18.
平均4.0 星,自卑与超越:人类个体心理学最卓越的作品(经典完整译本),阿弗雷德•阿德勒 (Alfred Adler),￥7.91,平装,19.
平均4.7 星,解忧杂货店,东野圭吾,￥23.70,精装,20.
平均4.8 星,菊与刀(典藏插图版)-“慢读”系列,本尼迪克特,￥24.80,精装,21.
平均4.7 星,绿野仙踪(160周年珍藏版),莱曼·弗兰克·鲍姆 (L.Frank Baum),￥46.70,精装,22.
平均4.1 星,世界十大文学名著:红与黑(法国国家图书馆藏本),司汤达 (Stendhal),￥31.20,平装,23.
平均4.4 星,大师名作绘本馆:小狗安格斯系列(套装共3册),玛乔丽·弗拉克,￥28.10,平装,24.
平均4.2 星,哈佛谈判心理学:哈佛大学权威的谈判指南,艾莉卡·爱瑞儿·福克斯 (Erica Ariel Fox),￥34.10,平装,25.
平均4.6 星,身边的江湖,野夫,￥22.10,平装,26.
平均4.6 星,世界上的另一个你(修订版),朗·霍尔 (Ron Hall),￥22.00,平装,27.
平均4.6 星,王国维:一个人的书房,王国维,￥19.70,平装,28.
平均4.5 星,岛上书店,加·泽文,￥19.80,平装,29.
平均4.7 星,玛格丽特小镇,加·泽文 (Gabrielle Zevin),￥24.80,平装,30.
平均4.3 星,且以优雅过一生:杨绛传,桑妮,￥19.20,平装,31.
Prime,Google:未来之镜(全球创新巨头真正的工作、思索与规划),托马斯·舒尔茨(Thomas·Schulz),￥34.80,精装,32.
Prime,巨婴国（附赠三张亚马逊独家语录书签）,武志红,￥58.00,平装,33.
平均4.5 星,沉默的告白,罗莎蒙德·勒普顿 (Rosamund Lupton),￥26.10,平装,34.
平均4.6 星,"妈妈,我真的很生气:学会控制愤怒的情绪",吉娜·迪塔-多纳休 (Gina Ditta-Donahue),￥10.10,平装,35.
平均4.9 星,声律启蒙:吴冠中插图珍藏版,车万育,￥50.20,精装,36.
平均4.7 星,故宫日历:公历二〇一七年,陈丽华,￥36.30,精装,37.
平均4.3 星,艾丽丝·门罗作品:公开的秘密(2013年诺贝尔文学奖),艾丽丝·门罗 (Alice Munro),￥25.20,平装,38.
平均4.3 星,曾国藩家书 -“慢读”系列,曾国藩,￥27.10,平装,39.
平均4.5 星,人类简史:从动物到上帝(两种封面随机发货),尤瓦尔·赫拉利,￥40.80,平装,40.
平均4.1 星,"我明白你会来,所以我等",沈从文,￥31.10,精装,41.
平均4.8 星,1984(奥威尔反乌托邦经典畅销小说)-“慢读”系列,乔治·奥威尔,￥24.70,平装,42.
平均4.4 星,植物知道生命的答案,丹尼尔·查莫维茨,￥24.10,精装,43.
平均4.5 星,西游日记,今何在,￥20.50,平装,44.
平均4.6 星,梦的解析(德文直译无删节版),西格蒙德·弗洛伊德 (Sigmund Freud),￥46.30,平装,45.
平均4.6 星,病隙碎笔,史铁生,￥26.20,精装,46.
平均3.9 星,了不起的盖茨比,菲茨杰拉德,￥21.00,平装,47.
平均4.3 星,一切都是最好的安排2:把生命的无常变成奇迹,加措,￥32.40,平装,48.
平均4.5 星,"北欧,冰与火之地的寻真之旅",迈克尔•布斯 (Michael Booth),￥33.00,平装,49.
平均4.8 星,丝绸之路:一部全新的世界史,彼得·弗兰科潘 (Peter Frankopan),￥70.40,精装,50.
平均4.4 星,图解一个人用英文去旅行+旅游手账(套装共2册),曼曦,￥21.80,平装,51.
平均4.5 星,乌合之众-“慢读”系列,古斯塔夫·勒庞,￥24.00,精装,52.
平均5.0 星,乞力马扎罗的雪,厄尼斯特·海明威 (Ernest Hemingway),￥24.30,平装,53.
平均4.1 星,"心若向阳,无畏悲伤",林徽因,￥24.80,平装,54.
平均4.8 星,儿童人格教育(经典完整译本),阿尔弗雷德·阿德勒 (Alfred Adler),￥14.90,平装,55.
平均4.5 星,我们仨,杨绛,￥11.30,平装,56.
平均3.9 星,哈利•波特与被诅咒的孩子,J.K.罗琳,￥53.80,平装,57.
平均4.3 星,这个历史挺靠谱:袁腾飞讲历史(套装共3册)(附送11小时袁腾飞讲课精华光盘1张),袁腾飞,￥67.10,平装,58.
平均4.3 星,西方经典美术技法译丛:素描的诀窍(15周年畅销版),伯特•多德森,￥19.20,平装,59.
平均4.5 星,穿越人海拥抱你(附亚马逊独家作者签名暖心拥抱卡贴2张),苑子文,￥26.20,平装,60.
平均4.3 星,七堂极简物理课,卡洛•罗韦利,￥26.80,精装,61.
平均4.6 星,三生三世十里桃花(新版),唐七,￥24.10,平装,62.
平均4.6 星,人性的弱点,戴尔·卡耐基 (Dale Carnegie),￥27.30,精装,63.
平均4.2 星,美国人天天在用的15000单词,莫里斯·希尔 (Morris Hill),￥30.30,平装,64.
平均3.4 星,月亮与六便士,毛姆,￥23.90,平装,65.
平均4.7 星,宝宝第一套好性格养成书:皮特猫(套装共6册),艾瑞克·利温 (Eric Litwin),￥62.80,平装,66.
平均4.9 星,父与子(80周年德文版彩色全集)(附赠父与子亲子互动填色卡),埃·奥·卜劳恩,￥25.70,平装,67.
平均4.5 星,情景洞洞认知书:就是找不到系列(第二辑)(套装共3册),斯蒂芬妮•沙恩贝格,￥112.20,纸板书,68.
平均4.7 星,白夜行:东野圭吾作品02,东野圭吾,￥23.70,精装,69.
平均4.3 星,青铜时代(插图珍藏本),王小波,￥30.70,平装,70.
平均5.0 星,ABC幼儿双语启蒙认知绘本(套装共8册),赵君,￥87.60,平装,71.
平均4.6 星,日瓦戈医生,鲍里斯·帕斯捷尔纳克,￥26.80,平装,72.
平均5.0 星,那些怪诞又实用的日常心理学,理查德·怀斯曼,￥24.20,平装,73.
